params,iteration,train_loss,val_accuracy,val_loss,val_f1,val_precision,val_recall
"{'dropout_prop': 0.14580518300937095, 'hidden_size': 128, 'learning_rate': 0.0033250400602600027, 'sent_length': 15, 'use_class_weights': True}",8,1.6144,0.936,1.6136,0.9406,0.9357,0.9364
"{'dropout_prop': 0.09155399869155523, 'hidden_size': 64, 'learning_rate': 0.002857311374887178, 'sent_length': 8, 'use_class_weights': True}",7,1.6166,0.938,1.6096,0.9414,0.9379,0.9386
"{'dropout_prop': 0.17189533876960644, 'hidden_size': 128, 'learning_rate': 0.006157016385255783, 'sent_length': 15, 'use_class_weights': False}",9,1.6884,0.871,1.6691,0.8451,0.8714,0.8487
"{'dropout_prop': 0.1051657151576046, 'hidden_size': 128, 'learning_rate': 0.0022310021906760368, 'sent_length': 12, 'use_class_weights': True}",9,1.6057,0.937,1.6215,0.9366,0.9368,0.9365
"{'dropout_prop': 0.08323165552717225, 'hidden_size': 32, 'learning_rate': 0.0018826762069641175, 'sent_length': 10, 'use_class_weights': True}",9,1.6125,0.928,1.6265,0.9342,0.9279,0.9291
"{'dropout_prop': 0.19715895801761774, 'hidden_size': 128, 'learning_rate': 0.023178569481954403, 'sent_length': 15, 'use_class_weights': True}",5,2.4565,0.084,2.431,0.0071,0.0843,0.0131
"{'dropout_prop': 0.2819568921230511, 'hidden_size': 128, 'learning_rate': 0.010179958283054801, 'sent_length': 15, 'use_class_weights': True}",6,1.6206,0.919,1.6331,0.9225,0.9191,0.9166
"{'dropout_prop': 0.15474501471066743, 'hidden_size': 64, 'learning_rate': 0.00808008090998288, 'sent_length': 8, 'use_class_weights': False}",9,1.6254,0.931,1.6164,0.9177,0.9313,0.9236
"{'dropout_prop': 0.13855329220967078, 'hidden_size': 128, 'learning_rate': 0.0014857385714237058, 'sent_length': 15, 'use_class_weights': True}",9,1.6157,0.945,1.608,0.9469,0.9446,0.9444
"{'dropout_prop': 0.010544764798392767, 'hidden_size': 128, 'learning_rate': 0.005006593466540839, 'sent_length': 15, 'use_class_weights': True}",8,1.6031,0.942,1.6095,0.9449,0.9424,0.9424
"{'dropout_prop': 0.12504713538976348, 'hidden_size': 32, 'learning_rate': 0.00441688951789077, 'sent_length': 12, 'use_class_weights': True}",9,1.6061,0.943,1.6095,0.9445,0.9435,0.9437
"{'dropout_prop': 0.18152048696659073, 'hidden_size': 128, 'learning_rate': 0.0056017239783559165, 'sent_length': 10, 'use_class_weights': False}",9,1.6284,0.907,1.6362,0.8822,0.9069,0.8928
"{'dropout_prop': 0.04839592356511867, 'hidden_size': 128, 'learning_rate': 0.003650684422788285, 'sent_length': 15, 'use_class_weights': True}",8,1.5982,0.95,1.5946,0.952,0.9501,0.9502
"{'dropout_prop': 0.2331079556826498, 'hidden_size': 64, 'learning_rate': 0.004091110458365311, 'sent_length': 15, 'use_class_weights': True}",9,1.5997,0.961,1.5906,0.9619,0.9612,0.9611
"{'dropout_prop': 0.4233616956587758, 'hidden_size': 64, 'learning_rate': 0.017769770893835423, 'sent_length': 15, 'use_class_weights': True}",3,1.6662,0.898,1.6604,0.9042,0.898,0.898
"{'dropout_prop': 0.3169200832064693, 'hidden_size': 64, 'learning_rate': 0.003103566782306827, 'sent_length': 8, 'use_class_weights': True}",9,1.6103,0.932,1.6248,0.9344,0.9324,0.9326
"{'dropout_prop': 0.3577035048289872, 'hidden_size': 64, 'learning_rate': 0.0020655604073248077, 'sent_length': 15, 'use_class_weights': True}",9,1.6089,0.928,1.6214,0.9303,0.9279,0.9279
"{'dropout_prop': 0.2237187296288184, 'hidden_size': 64, 'learning_rate': 0.0017380651097632961, 'sent_length': 15, 'use_class_weights': False}",9,1.6813,0.859,1.6864,0.8087,0.8592,0.8299
"{'dropout_prop': 0.30305060114769444, 'hidden_size': 64, 'learning_rate': 0.015195933576988997, 'sent_length': 10, 'use_class_weights': True}",6,1.624,0.929,1.6185,0.9354,0.929,0.9302
"{'dropout_prop': 0.2399442931983086, 'hidden_size': 64, 'learning_rate': 0.007060816546404015, 'sent_length': 12, 'use_class_weights': True}",9,1.5991,0.947,1.604,0.9487,0.9468,0.9467
"{'dropout_prop': 0.25808749851120977, 'hidden_size': 64, 'learning_rate': 0.0049286435977373, 'sent_length': 15, 'use_class_weights': True}",9,1.607,0.958,1.5949,0.9586,0.9579,0.958
"{'dropout_prop': 0.3283606183108009, 'hidden_size': 64, 'learning_rate': 0.011478405885748754, 'sent_length': 15, 'use_class_weights': True}",8,1.619,0.929,1.6183,0.9347,0.929,0.9303
"{'dropout_prop': 0.38401913950306155, 'hidden_size': 64, 'learning_rate': 0.0025565969254489943, 'sent_length': 8, 'use_class_weights': False}",9,1.7155,0.839,1.7043,0.7651,0.8392,0.7961
"{'dropout_prop': 0.27957622918100533, 'hidden_size': 64, 'learning_rate': 0.0015994216366344877, 'sent_length': 15, 'use_class_weights': True}",9,1.6216,0.935,1.616,0.9408,0.9346,0.9355
"{'dropout_prop': 0.2048025336597356, 'hidden_size': 64, 'learning_rate': 0.0013896719736726094, 'sent_length': 15, 'use_class_weights': True}",9,1.6286,0.924,1.6295,0.9262,0.9235,0.9229
"{'dropout_prop': 0.39878296643269984, 'hidden_size': 32, 'learning_rate': 0.0040884720889363185, 'sent_length': 12, 'use_class_weights': True}",7,1.618,0.933,1.6144,0.9376,0.9335,0.9339
"{'dropout_prop': 0.4735172563463521, 'hidden_size': 64, 'learning_rate': 0.0064414253591990505, 'sent_length': 10, 'use_class_weights': True}",6,1.6346,0.933,1.6143,0.9389,0.9335,0.9347
"{'dropout_prop': 0.16502154264011434, 'hidden_size': 64, 'learning_rate': 0.007472172261141021, 'sent_length': 15, 'use_class_weights': True}",9,1.5908,0.962,1.5881,0.9637,0.9623,0.9623
"{'dropout_prop': 0.22398617466938264, 'hidden_size': 64, 'learning_rate': 0.010748780546034136, 'sent_length': 15, 'use_class_weights': False}",9,1.6895,0.855,1.6903,0.8114,0.8548,0.8301
"{'dropout_prop': 0.2940383824750217, 'hidden_size': 64, 'learning_rate': 0.013811860069193764, 'sent_length': 15, 'use_class_weights': True}",5,1.6258,0.928,1.6232,0.9304,0.9279,0.9277
"{'dropout_prop': 0.2748538030647302, 'hidden_size': 64, 'learning_rate': 0.008565731294655505, 'sent_length': 8, 'use_class_weights': True}",8,1.6076,0.941,1.614,0.9475,0.9412,0.9424
"{'dropout_prop': 0.2480340484071167, 'hidden_size': 64, 'learning_rate': 0.005811838652071102, 'sent_length': 15, 'use_class_weights': True}",8,1.614,0.948,1.6018,0.9502,0.9479,0.9483
"{'dropout_prop': 0.1915726927904979, 'hidden_size': 64, 'learning_rate': 0.007358151384038188, 'sent_length': 15, 'use_class_weights': True}",7,1.6149,0.961,1.592,0.9626,0.9612,0.9612
"{'dropout_prop': 0.21484775932774414, 'hidden_size': 64, 'learning_rate': 0.020836857066813725, 'sent_length': 10, 'use_class_weights': False}",6,1.7141,0.823,1.7221,0.7751,0.8226,0.7931
"{'dropout_prop': 0.1661408883599848, 'hidden_size': 64, 'learning_rate': 0.012571596217631341, 'sent_length': 12, 'use_class_weights': True}",8,1.6141,0.951,1.6032,0.9531,0.9512,0.9512
"{'dropout_prop': 0.2366887882066052, 'hidden_size': 64, 'learning_rate': 0.009064357710185975, 'sent_length': 15, 'use_class_weights': True}",9,1.5982,0.941,1.6104,0.9447,0.9412,0.9416
"{'dropout_prop': 0.306646782442323, 'hidden_size': 64, 'learning_rate': 0.00771552861604198, 'sent_length': 15, 'use_class_weights': True}",9,1.6106,0.931,1.6143,0.9376,0.9313,0.9304
"{'dropout_prop': 0.26450586839468593, 'hidden_size': 64, 'learning_rate': 0.005449384756050147, 'sent_length': 8, 'use_class_weights': True}",9,1.6068,0.942,1.6049,0.9444,0.9424,0.9426
"{'dropout_prop': 0.11159850889453829, 'hidden_size': 32, 'learning_rate': 0.0027506959711826005, 'sent_length': 15, 'use_class_weights': False}",8,1.7084,0.837,1.7077,0.7564,0.837,0.7896
"{'dropout_prop': 0.34443333935154635, 'hidden_size': 64, 'learning_rate': 0.003518622122228688, 'sent_length': 15, 'use_class_weights': True}",6,1.6238,0.931,1.6181,0.9355,0.9313,0.932
"{'dropout_prop': 0.14939475114492595, 'hidden_size': 64, 'learning_rate': 0.024558021924002395, 'sent_length': 12, 'use_class_weights': True}",1,1.7833,0.858,1.753,0.8501,0.8581,0.85
"{'dropout_prop': 0.13378852341516456, 'hidden_size': 64, 'learning_rate': 0.01897905252931398, 'sent_length': 10, 'use_class_weights': True}",2,1.6765,0.898,1.6601,0.9092,0.898,0.8995
"{'dropout_prop': 0.18505021525320434, 'hidden_size': 32, 'learning_rate': 0.02978400329066071, 'sent_length': 15, 'use_class_weights': True}",2,1.6797,0.889,1.6656,0.892,0.8891,0.8882
"{'dropout_prop': 0.1955993020183906, 'hidden_size': 64, 'learning_rate': 0.009858828712205515, 'sent_length': 15, 'use_class_weights': True}",8,1.5966,0.953,1.5964,0.9555,0.9534,0.9537
"{'dropout_prop': 0.29081224655055565, 'hidden_size': 64, 'learning_rate': 0.015017757037327389, 'sent_length': 8, 'use_class_weights': False}",8,1.7224,0.825,1.7187,0.7402,0.8248,0.7766
"{'dropout_prop': 0.0738439043040539, 'hidden_size': 32, 'learning_rate': 0.0024244845358255772, 'sent_length': 15, 'use_class_weights': True}",9,1.612,0.942,1.6106,0.9442,0.9424,0.9426
"{'dropout_prop': 0.25261961254795806, 'hidden_size': 64, 'learning_rate': 0.0030050087218673784, 'sent_length': 15, 'use_class_weights': True}",7,1.6148,0.946,1.6099,0.9455,0.9457,0.9447
"{'dropout_prop': 0.17011528991113212, 'hidden_size': 64, 'learning_rate': 0.002169484013168906, 'sent_length': 10, 'use_class_weights': True}",8,1.6164,0.948,1.6052,0.9487,0.9479,0.9479
"{'dropout_prop': 0.08962552137032664, 'hidden_size': 64, 'learning_rate': 0.006166916657604894, 'sent_length': 12, 'use_class_weights': True}",9,1.599,0.939,1.6119,0.9411,0.939,0.9387
