params,iteration,train_loss,val_accuracy,val_loss,val_f1,val_precision,val_recall
"{'bidirectional': True, 'dropout_prop': 0.2371915738848137, 'learning_rate': 0.025236016351915292, 'nb_lstm_layers': 1, 'nb_lstm_units': 32, 'sent_length': 15, 'use_class_weights': False}",9,0.0799,0.938,0.1021,0.9418,0.9375,0.9381
"{'bidirectional': True, 'dropout_prop': 0.04841785535461017, 'learning_rate': 0.0223311116709991, 'nb_lstm_layers': 1, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': False}",9,0.0214,1.0,0.0079,1.0,1.0,1.0
"{'bidirectional': True, 'dropout_prop': 0.05665317164355935, 'learning_rate': 0.002106664703974726, 'nb_lstm_layers': 1, 'nb_lstm_units': 32, 'sent_length': 8, 'use_class_weights': False}",9,0.2713,0.938,0.2509,0.9422,0.9375,0.9364
"{'bidirectional': True, 'dropout_prop': 0.003854817896408916, 'learning_rate': 0.02301694258930125, 'nb_lstm_layers': 1, 'nb_lstm_units': 128, 'sent_length': 15, 'use_class_weights': False}",7,0.0409,1.0,0.0173,1.0,1.0,1.0
"{'bidirectional': True, 'dropout_prop': 0.005767686222243464, 'learning_rate': 0.02165037147527349, 'nb_lstm_layers': 1, 'nb_lstm_units': 128, 'sent_length': 15, 'use_class_weights': False}",8,0.0315,0.992,0.0201,0.9928,0.9922,0.9922
"{'bidirectional': True, 'dropout_prop': 0.03411131721871424, 'learning_rate': 0.028136335288553246, 'nb_lstm_layers': 3, 'nb_lstm_units': 128, 'sent_length': 15, 'use_class_weights': False}",9,0.1328,0.977,0.1159,0.9781,0.9766,0.9764
"{'bidirectional': False, 'dropout_prop': 0.10109598219713115, 'learning_rate': 0.014107052570294161, 'nb_lstm_layers': 1, 'nb_lstm_units': 128, 'sent_length': 8, 'use_class_weights': False}",9,0.9787,0.703,0.9575,0.6857,0.7031,0.6872
"{'bidirectional': True, 'dropout_prop': 0.12146360513274047, 'learning_rate': 0.023114587734577387, 'nb_lstm_layers': 3, 'nb_lstm_units': 128, 'sent_length': 15, 'use_class_weights': False}",9,0.2547,0.953,0.1651,0.954,0.9531,0.9509
"{'bidirectional': True, 'dropout_prop': 0.019701301610767313, 'learning_rate': 0.010183967573025606, 'nb_lstm_layers': 1, 'nb_lstm_units': 128, 'sent_length': 12, 'use_class_weights': False}",9,0.0328,0.984,0.0368,0.9852,0.9844,0.9841
"{'bidirectional': True, 'dropout_prop': 0.09211250515933804, 'learning_rate': 0.012327050440550491, 'nb_lstm_layers': 1, 'nb_lstm_units': 128, 'sent_length': 10, 'use_class_weights': True}",9,0.0426,0.984,0.0395,0.9863,0.9844,0.9844
"{'bidirectional': True, 'dropout_prop': 0.08063730537472383, 'learning_rate': 0.015387391825047914, 'nb_lstm_layers': 3, 'nb_lstm_units': 128, 'sent_length': 15, 'use_class_weights': False}",9,0.3566,0.875,0.3884,0.8649,0.875,0.857
"{'bidirectional': False, 'dropout_prop': 0.04278525521193476, 'learning_rate': 0.01722127395854416, 'nb_lstm_layers': 2, 'nb_lstm_units': 128, 'sent_length': 15, 'use_class_weights': False}",9,2.2073,0.25,2.1048,0.106,0.25,0.1488
"{'bidirectional': True, 'dropout_prop': 0.06878664490779118, 'learning_rate': 0.02677330786864432, 'nb_lstm_layers': 1, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': False}",9,0.0298,0.992,0.0243,0.993,0.9922,0.9923
"{'bidirectional': True, 'dropout_prop': 0.022350949828916805, 'learning_rate': 0.0032250820858756475, 'nb_lstm_layers': 3, 'nb_lstm_units': 128, 'sent_length': 8, 'use_class_weights': True}",9,0.2623,0.914,0.248,0.9434,0.9141,0.9175
"{'bidirectional': True, 'dropout_prop': 0.0013635419217281008, 'learning_rate': 0.029867547276169023, 'nb_lstm_layers': 1, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': False}",9,0.0196,0.984,0.0288,0.9883,0.9844,0.9849
"{'bidirectional': False, 'dropout_prop': 0.15261003055994088, 'learning_rate': 0.010126858905425008, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 12, 'use_class_weights': False}",1,2.2716,0.227,2.2557,0.0513,0.2266,0.0837
"{'bidirectional': True, 'dropout_prop': 0.11992772703872544, 'learning_rate': 0.00875273043406381, 'nb_lstm_layers': 1, 'nb_lstm_units': 128, 'sent_length': 10, 'use_class_weights': False}",9,0.0539,0.984,0.0653,0.9855,0.9844,0.9842
"{'bidirectional': True, 'dropout_prop': 0.40456566535096716, 'learning_rate': 0.019687325452882983, 'nb_lstm_layers': 2, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': False}",9,0.0805,0.969,0.0636,0.9746,0.9688,0.9699
"{'bidirectional': True, 'dropout_prop': 0.2550269564144421, 'learning_rate': 0.007830624064204154, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': True}",9,0.194,0.969,0.1453,0.9719,0.9688,0.9688
